LABEL	VALUE
be.01	3930
have.03	1227
need.01	1215
remain.01	946
continue.01	920
do.02	712
take.01	556
work.01	465
support.01	427
like.02	409
contain.01	409
achieve.01	397
concern.02	386
provide.01	383
require.01	381
give.01	361
consider.01	336
allow.01	327
play.02	288
hope.01	283
contribute.01	266
present.01	258
respond.01	257
strengthen.01	257
adopt.01	252
receive.01	252
use.01	251
apply.02	246
represent.01	244
hold.04	238
wish.01	225
welcome.01	223
participate.01	220
propose.01	219
ensure.01	212
request.01	210
find.01	209
understand.01	209
constitute.01	204
live.01	202
put.01	202
know.01	192
begin.01	190
create.01	188
aim.02	188
increase.01	185
publish.01	177
resolve.01	173
promote.02	172
affect.01	172
base.02	171
have.02	171
help.01	170
want.01	168
improve.01	166
bring.01	165
develop.02	164
establish.01	158
note.01	158
believe.01	157
follow.02	155
come.01	155
seek.01	154
address.02	152
thank.01	151
relate.01	151
carry.03	150
recognize.01	147
meet.03	145
say.01	144
encourage.02	143
invite.01	140
seem.01	137
commit.01	137
submit.01	136
plan.01	135
see.01	134
conclude.02	132
expect.01	129
become.01	127
protect.01	127
stress.01	123
reduce.01	123
ask.01	121
recommend.01	119
call.03	118
express.01	116
share.01	115
include.01	115
deal.01	113
show.01	112
focus.01	111
pay.01	109
consist.01	109
lead.03	106
think.01	105
mention.01	99
determine.01	98
return.01	97
maintain.01	97
exist.01	97
try.01	96
attach.01	96
prevent.01	96
urge.01	95
obtain.01	95
suffer.01	94
set.01	94
define.01	93
depend.01	92
make.02	91
indicate.01	91
cover.01	91
condemn.01	91
deserve.01	90
act.02	90
respect.01	89
facilitate.01	89
offer.01	89
decide.01	88
raise.01	87
combat.01	87
reflect.01	86
leave.01	86
approve.01	85
cooperate.01	85
revise.01	83
limit.01	76
encourage.01	75
guarantee.01	75
devote.01	72
speak.01	71
register.02	71
amount.01	67
agree.01	67
exercise.01	67
reaffirm.01	66
change.01	66
impose.01	65
consider.02	65
manage.01	65
elect.01	65
accept.01	64
choose.01	64
ratify.01	63
serve.01	62
produce.01	62
finance.01	62
organize.01	61
sign.01	59
occupy.01	59
prepare.02	59
benefit.01	58
hear.01	57
proceed.01	57
vary.01	56
meet.01	56
threaten.01	56
describe.01	56
convince.01	56
force.01	56
build.01	55
amend.01	55
fall.01	55
displace.01	54
remind.01	52
intend.01	51
open.01	50
undertake.01	50
prohibit.01	50
add.02	49
identify.01	49
happen.01	49
mean.01	48
count.04	48
collect.01	48
exceed.01	47
belong.01	47
enter.01	47
extend.01	47
integrate.01	47
draw.02	47
launch.01	47
seize.01	47
cause.01	46
correspond.02	46
charge.05	46
distribute.01	45
claim.01	45
govern.01	44
resume.01	44
vote.01	44
join.01	44
eliminate.01	44
learn.01	43
involve.01	43
employ.01	43
control.01	43
study.01	41
avoid.01	41
stop.01	41
formulate.01	41
